Time (s),Motor Temps
766.09,47.7
767.1,48.2
768.11,50.1
769.1,48.8
770.11,48.2
771.1,49
772.11,49.3
773.12,49.8
774.11,50.2
775.12,48.8
776.11,48.8
777.12,48.5
778.11,50.2
779.12,49.3
780.11,49.7
781.12,50.6
782.13,50.6
783.12,49.8
784.13,50.4
785.12,49.3
786.13,50.6
787.12,50.8
788.13,49
789.14,49.4
790.13,49.7
791.14,50.2
792.13,48.8
793.14,50.4
794.14,49.7
795.14,50.6
796.14,50.8
797.15,50.5
798.16,50.6
799.15,50
800.15,51
801.15,50.5
802.16,50.8
803.15,51.3
804.16,50.9
805.15,49.7
806.15,50.6
807.16,50.2
808.15,51.4
809.16,51
810.17,50.2
811.17,49.4
812.15,51.2
813.16,51
814.18,51.2
815.16,51.2
816.17,51.7
817.18,50.8
818.17,50.8
819.16,51.8
820.17,51.8
821.18,51.2
822.19,51.3
823.18,52
824.19,51.6
825.19,51.4
826.19,50.2
827.2,52.1
828.19,50.9
829.19,52.4
830.2,51.7
831.19,52.6
832.2,51.3
833.19,52.2
834.2,51.8
835.21,52.6
836.19,52.4
837.21,51.7
838.21,52.4
839.21,52.6
840.21,51.6
841.2,52.1
842.21,51.6
843.22,52.2
844.22,52.8
845.21,52.1
846.22,52
847.21,52.8
848.21,51.3
849.22,51
850.21,50.9
851.22,53.2
852.24,51.3
853.23,52.8
854.24,52
855.22,50.9
856.23,52.1
857.24,53.2
858.24,53.3
859.24,52.8
860.23,53.3
861.24,52.4
862.25,52.6
863.24,52.6
864.25,53.8
865.25,53.8
866.24,53.4
867.25,53.3
868.26,52.9
869.25,53.3
870.26,52.1
871.25,53.6
872.26,53.3
873.25,53.6
874.26,53.4
875.27,54
876.28,52.5
877.28,53.2
878.28,53.6
879.27,52.8
880.28,51.8
881.27,53.7
882.28,53.4
883.27,52.9
884.27,54.4
885.28,54.1
886.29,54.4
887.28,53.8
888.26,53.2
889.29,53.4
890.28,53.6
891.3,54
892.28,53.6
893.3,53.6
894.28,54.1
895.3,54
896.31,52.9
897.29,52.2
898.3,52.2
899.31,54
900.3,53.3
901.32,54.8
902.3,54.8
903.31,53.8
904.3,54.7
905.31,54
906.32,54.7
907.32,53.6
908.32,55.2
909.33,53.4
910.3,54.9
911.33,54.4
912.32,54.8
913.32,55.6
914.34,54.5
915.33,55.1
916.32,54.7
917.32,53.3
918.32,55.6
919.33,54.7
920.34,55.3
921.33,53.7
922.35,55.5
923.33,54.4
924.35,53.3
925.34,54.9
926.35,55.1
927.33,55.7
928.34,56
929.34,55.5
930.35,55.6
931.36,54.8
932.35,54.9
933.36,55.6
934.35,56.7
935.36,55.7
936.37,54.1
937.36,54.9
938.37,56
939.36,55.9
940.37,56.7
941.35,55.9
942.38,55.1
943.35,55.2
944.38,55.6
945.36,54.7
946.37,54.9
947.38,55.9
948.35,55.1
949.38,55.3
950.39,55.1
951.38,55.1
952.38,56
953.38,55.1
954.39,56
955.4,56.5
956.39,54.9
957.4,55.3
958.39,55.3
959.39,56.7
960.4,55.5
961.41,56.5
962.4,55.6
963.41,56.7
964.4,56
965.39,54.9
966.4,55.7
967.4,54.4
968.39,56.5
969.42,56.1
970.42,56
971.41,56.9
972.4,55.2
973.42,56.3
974.4,56.1
975.42,56.1
976.42,55.3
977.42,56.5
978.43,54.9
979.42,54.5
980.43,55.5
981.44,55.2
982.43,55.2
983.44,56.5
984.44,55.2
985.44,56.1
986.43,55.2
987.43,56.7
988.44,56.9
989.45,56.5
990.44,55.9
991.45,57.2
992.46,57.1
993.45,57.3
994.45,56
995.45,56.3
996.46,56.8
997.45,56
998.45,56.9
999.46,56.3
1000.46,56.4
1001.43,57.1
1002.46,56.5
1003.45,56.8
1004.46,56.8
1005.47,57.1
1006.46,57.1
1007.48,56.9
1008.46,56.4
1009.48,57.6
1010.47,55.9
1011.48,57.9
1012.47,56.3
1013.48,56.3
1014.49,56.9
1015.47,56.3
1016.48,56.3
1017.49,56.5
1018.48,56
1019.49,56.9
1020.5,56.5
1021.49,57.7
1022.5,57.7
1023.49,57.5
1024.5,57.2
1025.49,57.2
1026.51,55.9
1027.51,57.1
1028.51,58.3
1029.5,57.6
1030.51,58.4
1031.52,56.8
1032.51,56.8
1033.52,57.9
1034.51,57.5
1035.51,56.7
1036.52,56.8
1037.51,58
1038.52,56.9
1039.51,57.7
1040.5,57.7
1041.53,56.1
1042.52,56.3
1043.52,57.6
1044.53,58.4
1045.52,57.1
1046.53,57.3
1047.54,57.7
1048.54,57.2
1049.53,57.3
1050.54,57.1
1051.55,56.9
1052.53,58.6
1053.55,56.9
1054.53,56.9
1055.54,58
1056.55,58.4
1057.55,58.2
1058.55,57.9
1059.55,56.9
