Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
34205.67,23,23,29,32
34389.6,23,23,29,32
34573.99,23,23,29,32
34758.87,23,23,29,32
34944.25,23,23,29,32
35130.12,23,23,29,32
35316.48,23,23,29,32
35503.33,23,23,29,32
35690.68,23,23,29,32
35878.52,23,23,29,32
36066.85,23,23,29,32
36255.68,23,23,29,32
36445.0,23,23,29,32
36634.82,23,23,29,32
36825.13,23,23,29,32
37015.93,23,23,29,32
37207.22,23,23,29,32
37399.02,23,23,29,32
37591.3,23,23,29,32
37784.07,23,23,29,32
37977.34,23,23,29,32
38171.1,23,23,29,32
38365.35,23,23,29,33
38560.1,23,23,29,32
38755.34,23,23,29,33
38951.08,23,23,29,33
39147.31,23,23,29,33
39344.03,23,23,29,33
39541.24,23,23,29,33
39738.95,23,23,29,33
39937.21,23,23,29,33
40136.24,23,23,29,33
40335.43,23,23,29,33
40535.11,22,23,29,33
40735.28,23,23,29,33
40935.95,23,23,30,33
41137.11,23,23,30,33
41338.77,23,23,30,33
41540.92,23,23,30,33
41743.56,23,23,30,33
41946.71,23,23,30,33
42150.34,23,23,30,33
42354.46,23,23,30,33
42559.08,23,23,30,33
42764.19,23,23,30,33
42969.79,22,23,30,33
43175.88,23,23,30,33
43382.47,23,23,30,33
43589.55,23,23,30,33
43797.13,23,23,30,33
44005.2,23,23,30,33
44213.76,23,23,30,33
44422.82,23,23,29,33
44632.37,23,23,30,33
44842.42,23,23,30,33
45052.97,23,23,30,33
45264.0,23,23,30,33
45475.54,23,23,30,33
45687.56,23,23,30,33
45900.07,23,23,30,33
46113.08,23,23,30,34
46326.59,23,23,30,34
46540.59,23,23,30,34
46755.09,23,23,30,34
46970.08,23,23,30,34
47185.58,23,23,30,34
47401.55,23,23,30,34
47618.01,23,23,30,34
47834.97,23,23,30,34
48052.42,23,23,30,34
48270.38,23,23,30,34
48488.82,23,23,30,34
48707.76,23,23,30,34
48927.18,23,23,30,34
49147.1,23,23,30,34
49367.51,23,23,31,34
49588.42,23,23,30,34
49809.83,23,23,30,34
50031.73,23,23,30,34
50254.11,23,23,30,34
50476.99,23,23,30,34
50700.36,23,23,30,34
50924.22,23,23,30,34
51148.58,23,23,30,34
51373.43,23,23,30,34
51598.77,23,23,30,34
51824.62,23,23,30,34
52050.95,23,23,30,34
52277.77,23,23,30,34
52505.09,23,23,30,34
52732.9,23,23,30,34
52961.2,23,23,30,34
53190.0,23,23,30,34
53419.29,23,23,30,34
53649.07,23,23,30,34
53879.35,23,23,30,34
54110.12,23,23,30,34
54341.39,23,23,31,35
54573.16,23,23,30,35
54805.41,23,23,30,35
55038.19,23,23,30,35
55271.43,23,23,30,35
55505.16,23,23,31,35
55739.39,23,23,31,35
55974.11,23,23,28,35
56209.33,23,23,31,35
56445.03,23,23,31,35
56681.23,23,23,31,35
56917.93,23,23,31,35
57155.12,23,23,31,35
57392.81,23,23,31,35
57630.98,23,23,31,35
57869.66,23,23,31,35
58108.82,23,23,31,35
58348.47,23,23,31,35
58588.62,23,23,31,35
58829.26,23,23,31,35
59070.39,23,23,31,35
59312.02,23,23,31,35
59554.15,23,23,31,35
59796.76,23,23,31,35
60039.87,23,23,31,35
60283.47,23,23,31,35
60527.57,23,23,31,35
60772.16,23,22,31,35
61017.25,23,23,31,35
61262.83,23,23,31,35
61508.9,23,23,31,35
61755.46,23,23,31,36
62002.52,23,23,31,36
62250.07,23,23,31,36
62498.11,23,23,31,36
62746.64,23,23,31,36
62995.67,23,23,31,36
63245.2,23,23,31,36
63495.22,23,23,31,36
63745.73,23,23,31,36
63996.74,23,23,31,36
64248.25,23,23,31,36
64500.24,23,23,31,36
64752.72,23,23,31,36
65005.7,23,23,31,36
65259.17,23,23,31,36
65513.14,22,23,32,36
65767.61,23,23,32,36
66022.56,23,23,32,36
66278.01,23,23,32,36
66533.96,23,23,32,36
66790.39,23,23,32,36
67047.32,23,23,32,36
67304.74,23,23,32,36
67562.65,23,23,32,36
67821.06,23,23,32,36
68079.96,23,23,32,36
68339.35,23,23,32,36
68599.24,23,23,32,36
68859.62,23,23,32,37
69120.49,23,23,32,37
69381.86,23,23,32,37
69643.74,23,23,32,37
69906.09,23,23,32,37
70168.94,23,23,32,37
70432.29,23,23,32,37
70696.13,23,23,32,37
70960.46,23,23,32,37
71225.28,23,23,32,37
71490.6,23,23,32,37
71756.41,23,23,32,37
72022.72,23,23,32,37
72289.52,23,23,32,37
72556.82,23,23,32,37
72824.61,23,23,32,37
73092.89,23,23,32,37
73361.67,23,23,32,37
73630.94,23,23,32,37
73900.7,23,23,32,37
74170.95,23,23,32,37
74441.7,23,23,32,37
74712.94,23,23,32,37
74984.68,23,23,33,37
75256.91,23,23,33,37
75529.63,23,23,33,37
75802.85,23,23,33,37
76076.56,23,23,33,37
76350.76,23,23,33,37
76625.45,23,23,33,37
76900.64,23,23,33,38
77176.32,23,23,33,38
77452.5,23,23,33,38
77729.17,23,23,33,38
78006.33,23,23,33,38
78284.0,23,23,33,38
78562.15,23,23,33,38
78840.8,23,23,33,38
79119.94,23,23,33,38
79399.58,23,23,33,38
79679.71,23,23,33,38
79960.34,23,23,33,38
80241.45,23,23,33,38
80523.06,23,23,33,38
80805.17,23,23,33,38
81087.76,23,23,33,38
81370.85,23,24,33,38
81654.44,23,23,33,38
81938.52,23,23,33,38
82223.1,23,23,33,38
82508.17,23,23,33,38
82793.73,23,23,33,38
83079.78,23,23,33,38
83366.33,23,23,33,38
83653.37,23,23,33,38
83940.91,23,23,33,38
84228.94,23,23,33,38
84517.47,23,23,33,38
84806.49,23,23,33,38
85096.0,20,23,33,38
85386.01,23,23,33,38
85676.52,23,23,33,38
85967.51,23,23,33,39
86259.01,23,23,33,39
86550.99,23,23,33,39
86843.47,23,23,34,39
87136.44,23,23,34,39
87429.9,23,23,34,39
87723.85,23,23,34,39
88018.3,23,23,34,39
88313.24,23,23,34,39
88608.69,23,23,34,39
88904.62,23,23,34,39
89201.04,23,23,34,39
89497.96,23,23,34,39
89795.37,23,23,34,39
90093.28,23,23,34,39
90391.7,23,24,35,39
90690.6,23,24,35,39
90989.99,23,24,35,39
91289.89,23,24,35,39
91590.28,23,24,35,39
91891.16,23,24,35,39
92192.53,23,24,35,39
92494.39,23,24,35,39
92796.74,23,24,35,39
93099.58,23,24,35,39
93402.91,23,24,35,39
93706.74,23,24,35,39
94011.06,23,24,35,39
94315.88,23,24,35,39
