Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
210.55,23,23,30,33
211.03,23,23,30,33
211.54,23,23,30,33
212.02,23,23,30,33
212.51,23,23,30,33
213.01,23,23,30,34
213.51,23,23,30,34
214.0,23,23,30,34
214.5,23,23,30,34
214.99,23,23,30,34
215.5,23,23,30,34
215.97,23,23,30,34
216.46,23,23,30,34
216.96,23,23,30,34
217.45,23,23,30,34
217.96,23,23,30,34
218.44,23,23,30,34
218.94,23,23,30,34
219.42,23,23,30,34
219.92,23,23,30,34
220.41,23,23,31,34
220.91,23,23,30,34
221.41,23,23,30,34
221.9,23,23,30,34
222.38,23,23,30,34
222.88,23,23,30,34
223.37,23,23,30,34
223.86,23,23,30,34
224.36,23,23,30,34
224.85,23,23,30,34
225.34,23,23,30,34
225.85,23,23,30,34
226.33,23,23,30,34
226.82,23,23,30,34
227.32,23,23,30,34
227.81,23,23,30,34
228.3,23,23,30,34
228.8,23,23,30,34
229.29,23,23,30,34
229.78,23,23,30,34
230.28,23,23,30,34
230.77,23,23,30,34
231.27,23,23,31,35
231.77,23,23,30,35
232.25,23,23,30,35
232.78,23,23,30,35
233.24,23,23,30,35
233.73,23,23,31,35
234.23,23,23,31,35
234.72,23,23,28,35
235.22,23,23,31,35
235.7,23,23,31,35
236.2,23,23,31,35
236.7,23,23,31,35
237.19,23,23,31,35
237.69,23,23,31,35
238.17,23,23,31,35
238.68,23,23,31,35
239.16,23,23,31,35
239.65,23,23,31,35
240.15,23,23,31,35
240.64,23,23,31,35
241.13,23,23,31,35
241.63,23,23,31,35
242.13,23,23,31,35
242.61,23,23,31,35
243.11,23,23,31,35
243.6,23,23,31,35
244.1,23,23,31,35
244.59,23,22,31,35
245.09,23,23,31,35
245.58,23,23,31,35
246.07,23,23,31,35
246.56,23,23,31,36
247.06,23,23,31,36
247.55,23,23,31,36
248.04,23,23,31,36
248.53,23,23,31,36
249.03,23,23,31,36
249.53,23,23,31,36
250.02,23,23,31,36
250.51,23,23,31,36
251.01,23,23,31,36
251.51,23,23,31,36
251.99,23,23,31,36
252.48,23,23,31,36
252.98,23,23,31,36
253.47,23,23,31,36
253.97,22,23,32,36
254.47,23,23,32,36
254.95,23,23,32,36
255.45,23,23,32,36
255.95,23,23,32,36
256.43,23,23,32,36
256.93,23,23,32,36
257.42,23,23,32,36
257.91,23,23,32,36
258.41,23,23,32,36
258.9,23,23,32,36
259.39,23,23,32,36
259.89,23,23,32,36
260.38,23,23,32,37
260.87,23,23,32,37
261.37,23,23,32,37
261.88,23,23,32,37
262.35,23,23,32,37
262.85,23,23,32,37
263.35,23,23,32,37
263.84,23,23,32,37
264.33,23,23,32,37
264.82,23,23,32,37
265.32,23,23,32,37
265.81,23,23,32,37
266.31,23,23,32,37
266.8,23,23,32,37
267.3,23,23,32,37
267.79,23,23,32,37
268.28,23,23,32,37
268.78,23,23,32,37
269.27,23,23,32,37
269.76,23,23,32,37
270.25,23,23,32,37
270.75,23,23,32,37
271.24,23,23,32,37
271.74,23,23,33,37
272.23,23,23,33,37
272.72,23,23,33,37
273.22,23,23,33,37
273.71,23,23,33,37
274.2,23,23,33,37
274.69,23,23,33,37
275.19,23,23,33,38
275.68,23,23,33,38
276.18,23,23,33,38
276.67,23,23,33,38
277.16,23,23,33,38
277.67,23,23,33,38
278.15,23,23,33,38
278.65,23,23,33,38
279.14,23,23,33,38
279.64,23,23,33,38
280.13,23,23,33,38
280.63,23,23,33,38
281.11,23,23,33,38
281.61,23,23,33,38
282.11,23,23,33,38
282.59,23,23,33,38
283.09,23,24,33,38
283.59,23,23,33,38
284.08,23,23,33,38
284.58,23,23,33,38
285.07,23,23,33,38
285.56,23,23,33,38
286.05,23,23,33,38
286.55,23,23,33,38
287.04,23,23,33,38
287.54,23,23,33,38
288.03,23,23,33,38
288.53,23,23,33,38
289.02,23,23,33,38
289.51,20,23,33,38
290.01,23,23,33,38
290.51,23,23,33,38
290.99,23,23,33,39
291.5,23,23,33,39
291.98,23,23,33,39
292.48,23,23,34,39
292.97,23,23,34,39
293.46,23,23,34,39
293.95,23,23,34,39
294.45,23,23,34,39
294.94,23,23,34,39
295.45,23,23,34,39
295.93,23,23,34,39
296.42,23,23,34,39
296.92,23,23,34,39
297.41,23,23,34,39
297.91,23,23,34,39
298.42,23,24,35,39
298.9,23,24,35,39
299.39,23,24,35,39
299.9,23,24,35,39
300.39,23,24,35,39
300.88,23,24,35,39
301.37,23,24,35,39
301.86,23,24,35,39
302.35,23,24,35,39
302.84,23,24,35,39
303.33,23,24,35,39
303.83,23,24,35,39
304.32,23,24,35,39
304.82,23,24,35,39
305.31,23,24,35,39
305.81,23,24,35,39
306.32,23,24,35,39
306.79,23,23,35,39
307.28,23,23,34,39
307.78,23,23,34,40
308.28,23,24,34,40
308.77,23,23,35,40
309.26,23,23,35,40
309.76,23,23,35,40
310.25,23,23,35,40
310.74,23,23,35,40
311.24,23,23,35,40
311.73,23,23,35,40
312.22,23,23,35,40
312.72,23,23,35,40
313.21,23,23,35,40
313.7,23,23,36,40
314.21,23,23,35,40
314.69,23,24,35,40
315.19,23,24,35,40
315.69,23,24,35,40
316.18,23,24,35,40
316.66,23,23,35,40
317.17,23,24,35,40
317.66,23,23,36,40
318.15,23,24,36,40
318.64,23,24,36,40
319.14,23,23,36,41
319.63,23,24,36,41
320.12,23,24,36,41
320.89,23,24,36,41
321.39,23,24,36,41
321.61,23,24,36,41
322.1,23,24,36,41
322.59,23,24,36,41
323.08,23,23,36,41
323.58,23,24,36,41
324.07,23,23,36,41
324.57,23,23,36,41
325.07,23,24,36,41
325.55,23,23,36,41
326.05,23,23,36,41
326.54,23,23,36,41
327.04,23,23,36,41
327.53,23,23,36,41
328.03,23,23,36,41
328.52,23,23,36,41
329.01,23,23,36,41
329.5,23,23,36,41
330.0,23,24,36,41
330.5,23,24,36,41
330.99,23,24,36,41
331.49,23,24,36,41
331.97,23,24,36,41
332.47,23,24,36,41
332.96,23,24,36,41
333.46,23,24,36,41
333.95,23,24,36,41
334.45,23,24,36,42
334.94,23,24,36,41
335.44,23,24,36,41
335.93,23,23,36,42
336.42,23,24,37,42
336.92,23,24,37,42
337.41,23,24,38,42
337.9,23,24,37,42
338.4,23,24,37,42
338.89,23,24,37,42
339.39,23,24,37,42
339.88,23,24,37,42
340.37,24,24,37,42
340.86,23,24,37,42
341.35,24,24,37,42
341.85,24,24,37,42
342.34,24,24,37,42
342.84,24,24,37,42
343.33,24,24,37,42
343.83,23,24,37,42
344.32,23,24,37,42
344.81,24,24,36,42
345.31,23,24,36,42
345.8,24,24,36,42
346.3,23,24,36,42
346.79,23,24,36,42
347.29,23,24,36,42
347.78,23,24,36,42
348.28,24,24,37,42
348.77,23,24,36,43
349.26,24,24,37,43
349.76,23,24,37,43
350.25,23,24,37,43
350.74,23,24,37,43
351.24,23,24,37,43
351.73,24,24,37,43
352.23,23,24,37,43
352.72,23,24,37,43
353.22,23,24,37,43
353.71,23,24,37,43
354.2,23,24,38,43
354.69,23,24,37,43
355.19,23,24,37,43
355.68,24,24,37,43
356.17,24,24,38,43
356.67,23,24,37,43
357.16,24,24,37,43
357.66,24,24,37,43
358.15,24,24,37,43
358.65,24,24,38,43
359.14,23,24,38,43
359.63,24,24,38,43
360.13,24,24,38,43
360.62,23,24,38,43
361.12,24,24,38,43
361.61,24,24,38,43
362.1,24,24,38,43
362.59,24,24,38,43
363.09,24,24,38,43
363.58,24,24,38,43
364.09,24,24,38,43
364.57,24,24,37,43
365.07,24,24,37,43
365.56,24,24,37,43
366.06,24,24,37,43
366.55,24,24,37,43
367.04,23,24,37,43
367.53,23,24,37,43
368.03,24,24,37,43
368.53,23,24,37,44
369.03,24,24,37,44
369.51,24,24,37,44
370.0,24,24,38,44
370.51,24,24,38,44
370.99,24,24,38,44
371.49,24,24,38,44
371.98,24,24,38,44
372.48,24,24,38,44
372.97,24,24,38,44
373.46,24,24,38,44
373.95,25,24,38,44
374.45,24,24,39,44
374.94,23,24,39,44
375.43,24,24,39,44
375.93,24,24,39,44
376.42,24,24,39,44
376.92,24,24,40,44
377.41,24,24,39,44
377.9,24,24,39,44
378.4,23,24,39,44
378.89,24,24,39,44
379.39,24,24,39,44
379.88,24,24,39,44
380.38,24,24,39,44
380.87,24,24,39,44
381.36,24,24,39,45
381.85,24,24,39,45
382.35,24,24,39,45
382.85,24,24,39,45
383.34,24,24,39,45
383.83,24,24,39,45
384.33,24,24,39,45
384.82,24,24,39,45
385.31,24,24,38,45
385.81,24,24,39,45
386.3,24,24,39,45
386.8,24,24,39,45
387.29,24,24,39,45
387.78,24,24,39,45
388.28,24,24,39,45
388.77,24,24,39,45
389.26,24,24,39,45
389.78,24,24,39,45
390.26,24,24,39,45
390.76,24,24,39,45
391.25,24,24,39,45
391.73,24,24,39,45
392.23,24,24,39,45
392.72,24,24,40,45
393.22,24,24,40,45
393.71,24,24,40,45
394.2,24,24,40,45
394.69,24,24,40,45
395.19,24,24,40,45
395.68,24,24,40,45
396.18,24,24,40,45
396.67,23,24,40,45
397.17,24,24,40,45
397.66,24,24,40,46
398.15,26,24,40,46
398.65,24,24,40,46
399.14,24,24,40,46
399.63,24,24,40,46
400.13,24,24,40,46
400.62,24,24,40,46
401.12,24,24,40,46
401.61,24,24,40,46
402.11,24,24,40,46
402.6,24,24,40,46
403.09,24,24,40,46
403.58,24,24,40,46
404.08,24,24,40,46
404.58,24,24,40,46
405.07,24,24,40,46
405.56,24,24,40,46
406.05,24,24,39,46
406.55,24,24,40,46
407.05,24,24,40,46
407.54,24,24,40,46
408.03,24,24,40,46
408.53,24,24,40,46
409.02,24,24,40,46
409.51,24,24,40,46
410.01,24,23,40,46
410.52,24,24,40,46
411.01,24,24,40,46
411.49,24,24,40,46
411.99,24,24,40,46
412.48,24,24,40,46
412.98,24,24,40,46
413.48,24,24,40,46
413.96,24,24,41,47
414.46,24,24,41,47
414.95,24,24,41,47
415.46,24,24,41,47
415.94,24,24,41,47
416.43,24,24,41,47
416.92,24,24,41,47
417.42,23,24,41,47
417.91,24,24,41,47
418.41,24,24,41,47
418.91,24,24,41,47
419.39,24,24,41,47
419.89,24,24,41,47
420.38,24,24,41,47
420.87,24,24,41,47
421.37,24,24,41,47
421.86,24,24,41,47
422.36,24,24,41,47
422.85,24,24,41,47
423.34,24,24,41,47
423.84,24,24,41,47
424.34,24,24,41,47
424.83,24,24,41,47
425.32,24,24,41,47
425.82,24,24,41,47
426.31,24,24,41,47
426.8,24,24,41,47
427.3,24,24,41,47
