Time (s),Motor Temps
681.09,37.9
682.1,37.8
683.09,37.8
684.1,37.9
685.11,37.8
686.1,37.7
687.11,38.1
688.11,37.8
689.1,37.5
690.12,38.2
691.11,38.3
692.11,38.3
693.11,37.9
694.12,38.1
695.11,37.1
696.13,38.3
697.12,37.8
698.12,38.2
699.11,38.1
700.12,38.1
701.12,38.1
702.13,38.1
703.13,38.2
704.14,38.1
705.13,38.3
706.13,38.1
707.13,37.9
708.14,38.3
709.14,38.3
710.13,38.2
711.14,38.1
712.15,38.3
713.14,38.1
714.14,38.3
715.15,38.1
716.15,38.2
717.15,38.2
718.16,38.3
719.15,38.2
720.16,38.2
721.16,38.2
722.16,38.1
723.16,38.3
724.17,38.9
725.17,38.2
726.16,37.9
727.16,38.3
728.17,38.6
729.17,38.3
730.17,39.0
731.18,38.6
732.17,38.5
733.17,38.5
734.17,38.5
735.18,38.5
736.18,38.3
737.19,38.5
738.18,38.6
739.18,38.3
740.18,38.5
741.2,38.6
742.19,38.1
743.2,39.0
744.18,39.5
745.2,38.3
746.19,39.5
747.19,41.4
748.2,40.8
749.2,40.8
750.19,40.4
751.2,40.6
752.21,40.8
753.21,40.6
754.2,40.7
755.21,40.8
756.2,40.8
757.22,40.8
758.21,41.0
759.21,41.4
760.22,41.4
761.21,41.2
762.23,41.6
763.22,41.4
764.23,41.2
765.23,41.1
766.22,41.8
767.23,40.7
768.22,41.5
769.24,41.2
770.23,41.2
771.23,41.5
772.24,41.6
773.24,41.6
774.23,41.1
775.24,41.4
776.23,42.0
777.25,41.5
778.25,41.4
779.25,41.4
780.25,41.8
781.25,41.4
782.26,41.5
783.25,41.4
784.26,41.4
785.26,41.4
786.25,41.4
787.25,41.2
788.26,41.2
789.26,41.4
790.26,41.4
791.27,40.8
792.27,41.4
793.26,40.8
794.26,41.2
795.27,41.4
796.27,41.2
797.27,41.0
798.28,41.2
799.28,41.4
800.28,41.2
801.28,41.2
802.28,41.4
803.29,41.1
804.29,41.1
805.29,41.2
806.29,41.2
807.3,41.1
808.3,41.2
809.29,41.1
810.29,41.1
811.3,41.4
812.3,41.1
813.29,41.4
814.3,41.4
815.31,40.7
816.3,41.2
817.31,40.0
818.31,40.8
819.31,41.8
820.31,42.3
821.32,42.8
822.31,42.7
823.32,42.0
824.32,42.8
825.31,42.4
826.33,42.8
827.32,43.2
828.32,42.3
829.32,43.2
830.32,42.5
831.33,42.1
832.33,43.7
833.33,43.1
834.33,43.7
835.33,42.8
836.33,43.1
837.34,43.2
838.34,43.3
839.34,43.2
840.35,42.7
841.34,43.5
842.35,43.9
843.34,43.2
844.36,43.2
845.35,43.5
846.35,43.5
847.36,43.6
848.36,44.1
849.36,43.3
850.36,43.5
851.34,43.1
852.37,43.3
853.36,43.3
854.37,43.2
855.36,43.2
856.36,43.3
857.37,43.9
858.37,43.3
859.37,43.2
860.37,42.9
861.37,42.8
862.38,43.3
863.38,43.2
864.38,43.2
865.39,43.1
866.39,43.3
867.39,43.1
868.39,43.3
869.39,43.3
870.39,42.8
871.39,43.1
872.4,42.8
873.39,43.3
874.39,43.1
875.4,43.2
876.4,43.1
877.4,43.1
878.41,43.1
879.41,42.9
880.41,43.2
881.41,42.9
882.41,43.1
883.41,43.1
884.41,43.2
885.4,42.7
886.42,43.1
887.42,43.1
888.41,42.9
889.42,42.8
890.41,43.1
891.42,42.5
892.42,42.9
893.43,43.1
894.42,43.1
895.43,42.8
896.43,42.9
897.43,43.1
898.44,43.1
899.43,42.8
900.43,43.1
901.43,42.7
902.44,43.1
903.44,42.9
904.45,42.9
905.44,42.9
906.45,42.9
907.45,42.9
908.45,42.8
909.45,42.9
910.46,42.7
911.46,43.2
912.46,42.8
913.45,42.9
914.46,42.5
915.47,43.2
916.46,43.6
917.46,42.9
918.46,44.3
919.45,44.1
920.47,43.1
921.46,44.3
922.47,43.9
923.47,43.7
924.48,44.7
925.48,44.9
926.48,43.6
927.48,45.2
928.47,44.4
929.48,45.3
930.49,45.3
931.49,45.1
932.49,45.7
933.49,45.6
934.48,45.6
935.49,45.6
936.5,45.1
937.49,45.1
938.5,45.6
939.5,45.3
940.5,45.5
941.49,45.3
942.5,45.3
943.5,45.1
944.5,45.3
945.51,45.3
946.51,45.2
947.47,45.3
948.51,45.2
949.51,45.2
950.52,45.3
951.52,45.2
952.51,45.3
953.51,45.1
954.51,45.2
955.52,45.2
956.52,44.9
957.53,44.9
958.52,45.2
959.52,45.2
960.53,44.9
961.53,45.2
962.54,44.5
963.53,45.2
964.52,45.2
965.54,45.3
966.54,45.2
967.54,45.2
968.54,45.2
969.54,44.5
970.55,45.3
971.54,44.9
972.55,45.2
973.55,45.7
974.55,45.1
975.54,45.2
976.54,45.1
977.55,44.9
978.55,44.9
979.55,45.1
980.56,44.9
981.56,44.5
982.56,44.7
983.57,44.0
984.56,44.7
985.57,45.1
986.57,44.9
987.57,44.7
988.57,45.1
989.57,44.5
990.57,44.3
991.58,44.7
992.58,45.1
993.58,45.1
994.59,44.7
995.58,44.5
996.58,44.5
997.58,44.9
998.59,44.7
999.59,44.4
1000.59,44.7
1001.59,44.7
1002.59,44.3
1003.59,44.7
1004.6,44.7
1005.6,43.6
1006.6,45.1
1007.59,44.9
1008.6,44.1
1009.6,44.5
1010.6,44.3
1011.61,44.4
1012.61,44.4
1013.61,44.5
1014.61,44.4
1015.61,44.3
1016.61,44.5
1017.62,44.1
1018.61,44.4
1019.61,44.3
1020.62,44.0
1021.62,44.3
1022.63,44.0
1023.63,44.3
1024.62,44.0
1025.62,44.0
1026.63,43.9
1027.63,44.1
1028.62,43.5
1029.64,43.6
1030.64,44.1
1031.64,43.6
1032.64,44.0
1033.64,43.6
1034.63,43.9
1035.65,43.7
1036.64,43.9
1037.65,43.9
