Time (s),N*m
30165209.53,2.0
30165583.46,2.0
30165957.46,2.0
30166331.53,2.0
30166705.67,2.0
30167079.88,0.0
30167454.15,0.0
30167828.51,0.0
30168202.93,0.0
30168577.41,0.0
30168951.97,0.0
30169326.57,0.0
30169701.24,0.0
30170075.95,0.0
30170450.7,0.0
30170825.49,0.0
30171200.39,0.0
30171575.34,0.0
30171950.36,0.0
30172325.43,0.0
30172700.56,0.0
30173075.74,0.0
30173450.98,0.0
30173826.25,0.0
30174201.61,0.0
30174577.01,0.0
30174952.5,0.0
30175328.05,0.0
30175703.64,0.0
30176079.28,0.0
30176454.96,0.0
30176830.77,4.0
30177206.67,6.0
30177582.62,6.0
30177958.65,6.0
30178334.74,6.0
30178710.9,6.0
30179087.11,6.0
30179463.42,6.0
30179839.79,8.0
30180216.19,6.0
30180592.66,6.0
30180969.23,6.0
30181345.85,6.0
30181722.51,6.0
30182099.22,6.0
30182476.02,6.0
30182852.88,6.0
30183229.82,6.0
30183606.82,4.0
30183983.95,4.0
30184361.13,4.0
30184738.36,3.9
30185115.68,3.9
30185493.05,3.9
30185870.51,3.9
30186248.04,1.9
30186625.69,3.9
30187003.39,1.9
30187381.12,3.9
30187758.87,1.9
30188136.73,1.9
30188514.64,0.0
30188892.64,0.0
30189270.69,0.0
30189648.79,0.0
30190026.96,0.0
30190405.18,0.0
30190783.46,0.0
30191161.83,0.0
30191540.25,0.0
30191918.72,0.0
30192297.25,0.0
30192675.87,0.0
30193054.55,0.0
30193433.32,0.0
30193812.15,0.0
30194191.02,0.0
30194569.97,0.0
30194948.96,0.0
30195327.99,0.0
30195707.07,0.0
30196086.19,0.0
30196465.38,0.0
30196844.62,0.0
30197223.91,0.0
30197603.28,0.0
30197982.75,0.0
30198362.27,0.0
30198741.85,0.0
30199121.47,0.0
30199501.16,0.0
30199880.9,0.0
30200260.73,0.0
30200640.62,0.0
30201020.58,0.0
30201400.61,0.0
30201780.72,0.0
30202160.87,0.0
30202541.08,0.0
30202921.45,0.0
30203301.88,0.0
30203682.37,0.0
30204062.91,0.0
30204443.49,0.0
30204824.12,0.0
30205204.86,0.0
30205585.67,0.0
30205966.54,0.0
30206347.51,0.0
30206728.53,0.0
30207109.6,0.0
30207490.77,0.0
30207872.0,0.0
30208253.28,0.0
30208634.64,0.0
30209016.07,0.0
30209397.57,0.0
30209779.15,0.0
30210160.77,0.0
30210542.43,0.0
30210924.13,0.0
30211305.88,0.0
30211687.68,0.0
30212069.54,0.0
30212451.46,0.0
30212833.49,0.0
30213215.58,0.0
30213597.73,0.0
30213979.91,0.0
30214362.16,0.0
30214744.45,0.0
30215126.78,0.0
30215509.18,0.0
30215891.64,0.0
30216274.14,0.0
30216656.72,0.0
30217039.34,0.0
30217422.02,0.0
30217804.75,0.0
30218187.56,0.0
30218570.43,0.0
30218953.37,0.0
30219336.34,0.0
30219719.37,0.0
30220102.45,0.0
30220485.58,0.0
30220868.75,0.0
30221252.0,0.0
30221635.33,0.0
30222018.72,0.0
30222402.16,0.0
30222785.64,0.0
30223169.17,0.0
30223552.74,0.0
30223936.4,0.0
30224320.12,0.0
30224703.88,0.0
30225087.7,0.0
30225471.63,0.0
30225855.6,0.0
30226239.61,0.0
30226623.71,0.0
30227007.88,0.0
30227392.12,0.0
30227776.44,0.0
30228160.81,0.0
30228545.24,0.0
30228929.71,0.0
30229314.38,0.0
30229699.1,0.0
30230083.87,0.0
30230468.7,0.0
30230853.6,0.0
30231238.57,0.0
30231623.6,0.0
30232008.69,0.0
30232393.81,0.0
30232778.99,0.0
30233164.26,0.0
30233549.57,0.0
30233934.92,0.0
30234320.38,0.0
30234705.87,0.0
30235091.41,0.0
30235477.0,0.0
30235862.62,0.0
30236248.29,0.0
30236634.01,0.0
30237019.83,0.0
30237405.74,0.0
30237791.77,0.0
30238177.85,0.0
30238563.97,0.0
30238950.11,0.0
30239336.37,0.0
30239722.68,0.0
30240109.04,0.0
30240495.47,0.0
30240881.94,0.0
30241268.52,0.0
30241655.15,0.0
30242041.89,0.0
30242428.67,0.0
30242815.52,0.0
30243202.43,0.0
30243589.37,0.0
30243976.36,0.0
30244363.52,0.0
30244750.75,0.0
30245138.04,0.0
30245525.4,0.0
30245912.79,0.0
30246300.22,0.0
30246687.67,0.0
30247075.21,0.0
30247462.8,0.0
30247850.44,0.0
30248238.14,0.0
30248625.89,0.0
30249013.75,0.0
30249401.67,0.0
30249789.66,0.0
30250177.7,0.0
30250565.79,0.0
30250953.93,0.0
30251342.15,0.0
30251730.41,0.0
30252118.79,0.0
30252507.23,0.0
30252895.74,0.0
30253284.32,0.0
30253672.96,0.0
