Time (s),Volts
33743.78,-159.44
33882.51,-159.44
34021.86,-159.44
34161.81,-159.45
34302.31,-159.44
34443.41,-159.44
34585.12,-159.44
34727.44,-159.45
34870.34,-159.44
35013.95,-159.44
35158.09,-159.44
35302.73,-159.45
35448.0,-159.44
35593.85,-159.44
35740.28,-159.44
35887.31,-159.45
36035.0,-159.44
36183.21,-159.44
36332.03,-159.44
36481.41,-159.45
36631.36,-159.44
36782.07,-159.44
36933.31,-159.44
37085.06,-159.45
37237.4,-159.44
37390.3,-159.44
37543.8,-159.44
37697.91,-159.45
37852.6,-159.44
38007.88,-159.44
38163.78,-159.44
38320.27,-159.45
38477.33,-159.44
38635.14,-159.44
38793.46,-159.44
38952.27,-159.45
39111.69,-159.44
39271.67,-159.44
39432.38,-159.44
39593.61,-159.45
39755.37,-159.44
39917.71,-159.44
40080.66,-159.44
40244.22,-159.45
40408.34,-159.44
40573.24,-159.44
40738.68,-159.44
40904.61,-159.45
41071.12,-159.44
41238.21,-159.44
41405.88,-159.44
41574.16,-159.45
41743.01,-159.44
41912.44,-159.44
42082.49,-159.44
42253.13,-159.45
42256.74,-159.46
42260.98,-159.45
42265.73,-159.45
42271.12,-159.46
42277.03,-159.45
42283.52,-159.45
42290.62,-159.45
42298.31,-159.46
42306.57,-159.45
42315.43,-159.45
42324.9,-159.45
42334.94,-159.46
42345.6,-159.45
42357.52,-159.45
42361.1,-159.46
42365.33,-159.45
42370.07,-159.45
42375.39,-159.46
42381.29,-159.46
42387.77,-159.45
42394.86,-159.45
42402.61,-159.46
42410.88,-159.46
42419.74,-159.45
42429.24,-159.46
42439.31,-159.46
42449.95,-159.46
42461.33,-159.46
42473.21,-159.45
42485.65,-159.46
42498.65,-159.46
42512.21,-159.46
42526.4,-159.46
42541.18,-159.46
42556.52,-159.46
42572.49,-159.46
42589.06,-159.46
42606.23,-159.46
42623.93,-159.46
42642.42,-159.46
42661.42,-159.46
42680.91,-159.47
42700.99,-159.46
42721.73,-159.46
42743.01,-159.46
42764.88,-159.47
42787.3,-159.46
42810.31,-159.46
42833.97,-159.46
42858.21,-159.47
42883.02,-159.46
42908.41,-159.46
42934.57,-159.46
42961.24,-159.47
42988.43,-159.46
43016.17,-159.46
43044.51,-159.46
43073.43,-159.47
43102.95,-159.46
43133.04,-159.46
43163.77,-159.46
43195.08,-159.47
43226.97,-159.46
43259.45,-159.46
43292.73,-159.46
43326.55,-159.47
43360.9,-159.46
43395.73,-159.46
43431.16,-159.46
43467.17,-159.47
43503.77,-159.46
43540.96,-159.46
43578.75,-159.46
43617.15,-159.47
43656.13,-159.46
43695.7,-159.46
43735.88,-159.46
43776.78,-159.47
43818.19,-159.47
43860.1,-159.46
43902.62,-159.46
43945.73,-159.47
43989.44,-159.47
44033.72,-159.46
44078.62,-159.46
44124.12,-159.47
44170.18,-159.47
44216.86,-159.46
44264.17,-159.46
44312.19,-159.47
44360.71,-159.47
44409.74,-159.46
44459.36,-159.46
44509.56,-159.47
44560.35,-159.47
44611.7,-159.46
44663.66,-159.46
44716.24,-159.47
44769.39,-159.47
44823.12,-159.46
44877.45,-159.46
44932.36,-159.47
44988.0,-159.47
45044.15,-159.46
45100.85,-159.46
45158.14,-159.47
45216.01,-159.47
45274.45,-159.46
45333.5,-159.46
45393.14,-159.47
45453.43,-159.47
45514.23,-159.46
45575.63,-159.46
45637.63,-159.47
45700.43,-159.47
45763.72,-159.47
45827.57,-159.46
45891.93,-159.47
45956.9,-159.47
46022.44,-159.47
46088.6,-159.47
46155.31,-159.47
46222.63,-159.47
46290.52,-159.47
46359.02,-159.47
46428.14,-159.47
46497.8,-159.47
46568.24,-159.47
46639.2,-159.47
46710.66,-159.48
46782.69,-159.47
46855.3,-159.47
46928.61,-159.47
47002.43,-159.48
47076.84,-159.47
47151.81,-159.47
47227.4,-159.47
47303.59,-159.47
47380.36,-159.47
47457.72,-159.47
47535.8,-159.47
47614.37,-159.47
47693.47,-159.47
47773.17,-159.47
47853.5,-159.47
47934.4,-159.48
48015.89,-159.47
48097.96,-159.47
48180.65,-159.47
48263.94,-159.47
48347.79,-159.47
48432.22,-159.47
48517.39,-159.47
48603.1,-159.48
48689.38,-159.47
48776.18,-159.47
48863.6,-159.47
48951.59,-159.48
49040.16,-159.47
49129.3,-159.47
49219.05,-159.47
49309.4,-159.48
49400.34,-159.47
49491.84,-159.47
49583.95,-159.47
49676.79,-159.47
49770.13,-159.47
49864.03,-159.47
49958.51,-159.47
50053.56,-159.47
50149.23,-159.47
50245.48,-159.47
50342.34,-159.47
50439.76,-159.48
50537.78,-159.47
50636.38,-159.47
50735.58,-159.47
50835.55,-159.48
50936.02,-159.47
51037.0,-159.47
51138.57,-159.47
51240.73,-159.48
51343.49,-159.47
51446.83,-159.47
51550.75,-159.47
51655.25,-159.48
51760.34,-159.47
51866.01,-159.47
51972.29,-159.47
52079.37,-159.48
52186.93,-159.47
52295.0,-159.47
52403.68,-159.47
52512.92,-159.48
52622.74,-159.47
52733.16,-159.47
52844.17,-159.47
52955.76,-159.48
53067.94,-159.47
53180.75,-159.47
53294.12,-159.47
53408.25,-159.48
53522.9,-159.47
53638.06,-159.47
53753.8,-159.47
53870.14,-159.48
53987.04,-159.47
54104.55,-159.47
54222.66,-159.47
54341.35,-159.48
54460.63,-159.47
54580.48,-159.47
54700.94,-159.47
54822.2,-159.48
54943.94,-159.47
55066.17,-159.47
55188.99,-159.47
55312.41,-159.48
55436.42,-159.47
55561.01,-159.47
55686.3,-159.47
55812.09,-159.48
55938.46,-159.47
56065.4,-159.47
56192.94,-159.47
56321.08,-159.48
56449.92,-159.47
56579.26,-159.47
56709.17,-159.47
56839.66,-159.48
56970.74,-159.47
57102.43,-159.47
57234.74,-159.47
57367.6,-159.48
57501.07,-159.47
57635.11,-159.47
57769.74,-159.47
57904.95,-159.48
58040.88,-159.47
58177.32,-159.47
58314.31,-159.47
58451.89,-159.48
58590.04,-159.47
58728.88,-159.47
58868.28,-159.47
59008.23,-159.48
59148.78,-159.47
59289.9,-159.47
59431.62,-159.47
59573.93,-159.48
59716.97,-159.47
59860.5,-159.47
60004.57,-159.47
60149.24,-159.48
60294.48,-159.47
60440.32,-159.47
60586.79,-159.47
60733.83,-159.48
60881.43,-159.47
61029.66,-159.47
61178.49,-159.47
61327.88,-159.48
61477.98,-159.47
61628.58,-159.47
61779.82,-159.47
61931.6,-159.48
62083.94,-159.47
62236.88,-159.47
62390.43,-159.47
62544.55,-159.48
62699.26,-159.47
62854.58,-159.47
63010.48,-159.47
63166.95,-159.48
63324.15,-159.47
63481.85,-159.47
63640.1,-159.47
63798.96,-159.48
63958.39,-159.48
64118.39,-159.47
64278.99,-159.47
64440.18,-159.48
64601.95,-159.47
64764.34,-159.47
64927.33,-159.47
65090.89,-159.48
65255.32,-159.47
65420.17,-159.47
65585.6,-159.47
65751.54,-159.48
65918.06,-159.47
66085.14,-159.47
66252.83,-159.47
66421.12,-159.48
66589.98,-159.47
66759.47,-159.47
66929.54,-159.47
67100.19,-159.48
67271.6,-159.47
67443.51,-159.47
67615.96,-159.47
67788.96,-159.48
67962.55,-159.48
68136.72,-159.47
68311.51,-159.47
68486.91,-159.48
68662.88,-159.48
68839.44,-159.47
69016.6,-159.47
69194.39,-159.48
69372.9,-159.47
69551.89,-159.47
69731.41,-159.47
69911.5,-159.48
70092.18,-159.48
70273.44,-159.47
70455.31,-159.47
70637.77,-159.48
70820.8,-159.47
71004.45,-159.47
71188.71,-159.47
71373.54,-159.48
71559.16,-159.48
71745.27,-159.47
71931.91,-159.47
72119.09,-159.48
72306.86,-159.48
72495.21,-159.47
72684.17,-159.47
72873.72,-159.48
73063.85,-159.47
73254.63,-159.47
73445.98,-159.47
73637.9,-159.48
73830.59,-159.47
74023.79,-159.47
74217.51,-159.47
74411.77,-159.48
74606.64,-159.48
74802.09,-159.47
74998.15,-159.47
75194.79,-159.48
75392.0,-159.48
75589.81,-159.47
75788.26,-159.47
75987.26,-159.48
76187.04,-159.48
76387.31,-159.47
76588.13,-159.47
76789.52,-159.48
76991.48,-159.48
77194.03,-159.47
77397.17,-159.47
77600.97,-159.48
77805.27,-159.48
78010.15,-159.47
78215.64,-159.47
78421.71,-159.48
78628.36,-159.48
78835.73,-159.47
79043.64,-159.47
79252.07,-159.48
79461.1,-159.47
79670.73,-159.47
79880.96,-159.47
80091.8,-159.48
80303.21,-159.47
80515.18,-159.47
80727.77,-159.47
80940.95,-159.48
81154.7,-159.48
81369.15,-159.47
81584.15,-159.47
81799.68,-159.48
82015.8,-159.48
82232.57,-159.47
82449.89,-159.47
82667.78,-159.48
82886.27,-159.48
83105.32,-159.47
83324.98,-159.47
83545.25,-159.48
83766.09,-159.48
83987.69,-159.47
84209.8,-159.47
84432.41,-159.48
84655.63,-159.48
84879.41,-159.47
85103.81,-159.47
85328.79,-159.48
85554.35,-159.48
85780.48,-159.47
86007.23,-159.47
86234.59,-159.48
86462.54,-159.48
86691.2,-159.47
86920.47,-159.47
87150.24,-159.48
87380.54,-159.48
87611.42,-159.47
87842.92,-159.47
88074.97,-159.48
88307.62,-159.48
88540.85,-159.47
88774.69,-159.47
89009.14,-159.48
89244.14,-159.48
89479.9,-159.47
89716.2,-159.47
89953.02,-159.48
90190.39,-159.48
90428.36,-159.47
90666.93,-159.47
90906.07,-159.48
91145.82,-159.48
91386.14,-159.47
91627.08,-159.47
91868.6,-159.48
92110.7,-159.48
92354.12,-159.47
92598.03,-159.48
92842.49,-159.48
93087.56,-159.47
93333.22,-159.47
93579.45,-159.48
93826.3,-159.48
94073.7,-159.47
94321.71,-159.47
94570.32,-159.48
94819.49,-159.48
95069.44,-159.47
95319.9,-159.47
95570.87,-159.48
95822.41,-159.48
96074.54,-159.47
96327.3,-159.47
96580.61,-159.48
96834.54,-159.48
97089.06,-159.47
97344.16,-159.47
97599.94,-159.48
97856.22,-159.48
98113.31,-159.47
98370.9,-159.47
98629.0,-159.48
98887.64,-159.48
99146.88,-159.48
99406.73,-159.48
99667.17,-159.48
99928.19,-159.48
100189.77,-159.47
100451.96,-159.47
100714.76,-159.48
100978.14,-159.48
101242.08,-159.48
101506.73,-159.48
101771.89,-159.48
102037.6,-159.48
102303.92,-159.48
102570.86,-159.47
102838.37,-159.48
103106.46,-159.48
103375.18,-159.48
103644.46,-159.48
103914.34,-159.48
104184.8,-159.48
104455.83,-159.48
104727.61,-159.48
104999.9,-159.48
105272.7,-159.48
105546.1,-159.48
105820.11,-159.47
106094.68,-159.48
106369.88,-159.48
106645.64,-159.47
106922.01,-159.48
107198.96,-159.48
107476.51,-159.48
107754.62,-159.48
108033.49,-159.47
108312.88,-159.49
108592.78,-159.48
108873.27,-159.48
109154.38,-159.48
109436.11,-159.48
109718.39,-159.48
110001.23,-159.48
110284.69,-159.48
110568.73,-159.49
110853.36,-159.48
111138.55,-159.48
111424.48,-159.48
111710.93,-159.48
111997.91,-159.48
112285.5,-159.48
112573.69,-159.48
112862.46,-159.48
113151.82,-159.48
113441.76,-159.47
113732.31,-159.48
114023.43,-159.48
114315.15,-159.48
114607.45,-159.48
114901.72,-159.48
115196.59,-159.48
115492.06,-159.47
115788.13,-159.48
116085.36,-159.48
116383.21,-159.48
116681.61,-159.48
116980.61,-159.48
117280.2,-159.48
117580.41,-159.48
117881.24,-159.48
118182.59,-159.48
118484.51,-159.48
118787.05,-159.47
119090.16,-159.48
119393.88,-159.48
119698.22,-159.48
120003.17,-159.48
120308.66,-159.49
120614.72,-159.48
120921.34,-159.48
121228.59,-159.48
121537.05,-159.48
121846.09,-159.48
122155.73,-159.48
122465.94,-159.49
122776.73,-159.48
123088.13,-159.48
123400.13,-159.48
123712.71,-159.49
124025.88,-159.48
124339.63,-159.48
124653.99,-159.48
124968.97,-159.49
125284.54,-159.48
125600.7,-159.48
125917.99,-159.49
126235.87,-159.48
126554.37,-159.48
126873.48,-159.48
127193.15,-159.48
127513.43,-159.48
127834.25,-159.48
128155.71,-159.48
128477.76,-159.49
128800.37,-159.48
129124.19,-159.48
129448.59,-159.49
129773.56,-159.48
130099.11,-159.48
130425.28,-159.48
130752.05,-159.48
131079.41,-159.48
131407.35,-159.48
131735.87,-159.48
132064.98,-159.49
132394.64,-159.48
132724.94,-159.48
133055.86,-159.48
133387.35,-159.49
133719.39,-159.48
134052.02,-159.48
134385.28,-159.48
134719.14,-159.49
135054.17,-159.48
135389.8,-159.48
135726.02,-159.49
136062.79,-159.48
136400.14,-159.48
136738.13,-159.48
137076.71,-159.49
137415.87,-159.48
137755.63,-159.48
138095.97,-159.48
138436.87,-159.49
138778.4,-159.48
139120.5,-159.48
139463.22,-159.48
139806.51,-159.49
140150.41,-159.48
140494.85,-159.48
140839.91,-159.48
141185.6,-159.49
141531.84,-159.48
141878.69,-159.48
142226.11,-159.48
142574.12,-159.49
142922.72,-159.48
143271.92,-159.48
143622.34,-159.49
143973.34,-159.48
144324.88,-159.48
144677.03,-159.48
145029.77,-159.49
145383.11,-159.48
145737.07,-159.48
146091.6,-159.48
146446.71,-159.49
146802.43,-159.48
147158.7,-159.48
147515.63,-159.48
147873.15,-159.49
148231.25,-159.48
148589.88,-159.48
148949.11,-159.48
149308.99,-159.49
149669.4,-159.48
150030.44,-159.48
150392.07,-159.48
150754.26,-159.49
151117.05,-159.48
151480.4,-159.48
151844.39,-159.48
152208.99,-159.49
152574.13,-159.48
152939.85,-159.48
153306.17,-159.48
153673.09,-159.49
154040.6,-159.48
154408.72,-159.48
154777.48,-159.48
155146.77,-159.49
155517.19,-159.48
155888.24,-159.48
156259.88,-159.49
156632.12,-159.48
157004.93,-159.48
157008.43,-159.5
157012.17,-159.49
157016.48,-159.49
157021.36,-159.49
157026.8,-159.5
157032.86,-159.49
157039.5,-159.49
157046.77,-159.49
157054.64,-159.5
157063.09,-159.49
157072.12,-159.49
157081.76,-159.49
157091.98,-159.5
157102.86,-159.5
157114.33,-159.49
157126.35,-159.49
157138.93,-159.5
157152.09,-159.5
157165.84,-159.49
157180.25,-159.49
157195.28,-159.5
157210.84,-159.5
157226.97,-159.49
157243.73,-159.49
157261.06,-159.5
157278.96,-159.5
157297.53,-159.49
157316.66,-159.49
157336.34,-159.5
157356.61,-159.5
157377.46,-159.49
157398.92,-159.49
157421.0,-159.5
157443.66,-159.5
157466.9,-159.49
157490.74,-159.49
157515.15,-159.5
157540.1,-159.5
157565.66,-159.49
157591.88,-159.49
157618.64,-159.5
157646.01,-159.5
157673.92,-159.5
157702.43,-159.49
157731.59,-159.5
