766,0,33,44,50,0,0,,,4810176
C0,0,0,0,0,1,2,0,0,4817229
A5,127,11,0,0,0,0,145,2,4824313
A7,0,0,0,0,0,0,0,0,4831353
AA,4,12,9,0,0,16,64,1,4838370
AB,0,0,0,0,0,0,0,0,4845408
766,0,33,0,50,0,0,,,4852431
C0,0,0,0,0,1,2,0,0,4859482
A5,127,11,0,0,0,0,145,2,4866505
A7,0,0,0,0,0,0,0,0,4873551
AA,4,12,9,0,0,16,64,1,4880571
AB,0,0,0,0,0,0,0,0,4887614
766,0,33,44,25,0,0,,,4894696
C0,0,0,0,0,1,2,0,0,4901811
387,0,1,56,255,127,87,235,39,4908897
A5,129,11,0,0,0,0,145,2,4920076
A7,0,0,0,0,0,0,0,0,4926591
AA,4,12,9,0,0,16,64,1,4933524
AB,0,0,0,0,0,0,0,0,4940603
400,19,19,29,30,0,2,0,3,4960156
380,24,0,0,0,186,159,198,159,4967190
401,16,17,18,19,,,,,4974265
766,0,22,44,75,0,0,,,4981288
500,0,0,0,0,0,0,0,0,4988295
A5,126,11,0,0,0,0,145,2,4995325
A7,0,0,0,0,0,0,0,0,5002324
AA,4,12,9,0,0,16,64,1,5009405
A5,126,11,0,0,0,0,145,2,5016464
A7,0,0,0,0,255,255,0,0,5023481
AA,4,12,9,0,0,16,64,1,5030477
AB,0,0,0,0,0,0,0,0,5037495
766,0,55,33,50,0,0,,,5044489
C0,0,0,0,0,1,2,0,0,5055643
387,0,0,56,255,127,87,235,39,5062152
A5,127,11,0,0,0,0,145,2,5069042
A7,0,0,0,0,0,0,0,0,5076062
AA,4,12,9,0,0,16,64,1,5083060
AB,0,0,0,0,0,0,0,0,5090077
766,0,33,55,50,0,0,,,5097078
C0,0,0,0,0,1,2,0,0,5104107
A5,126,11,0,0,0,0,145,2,5111108
A7,1,0,0,0,255,255,0,0,5118195
AA,4,12,9,0,0,16,64,1,5125194
AB,0,0,0,0,0,0,0,0,5132214
766,0,33,44,50,0,0,,,5139281
C0,0,0,0,0,1,2,0,0,5146311
387,0,0,56,255,127,87,235,39,5153435
A5,126,11,0,0,0,0,145,2,5160469
A7,0,0,0,0,0,0,0,0,5171617
AA,4,12,9,0,0,16,64,1,5178117
AB,0,0,0,0,0,0,0,0,5185061
766,0,0,33,75,0,0,,,5205148
C0,0,0,0,0,1,2,0,0,5212159
A5,128,11,0,0,0,0,145,2,5219246
A7,1,0,0,0,1,0,255,255,5239391
AA,4,12,9,0,0,16,64,1,5246416
AB,0,0,0,0,0,0,0,0,5253485
766,0,33,44,50,0,0,,,5260506
C0,0,0,0,0,1,2,0,0,5267517
A5,130,11,0,0,0,0,145,2,5274605
A7,0,0,0,0,255,255,0,0,5281607
AA,4,12,9,0,0,16,64,1,5288630
AB,0,0,0,0,0,0,0,0,5295634
A0,205,0,210,0,209,0,28,1,5302657
A2,93,0,93,0,81,1,0,0,5309671
387,255,254,56,255,127,87,235,39,5320924
766,0,77,44,0,0,0,,,5327436
C0,0,0,0,0,1,2,0,0,5334300
A5,132,11,0,0,0,0,144,2,5341366
A7,0,0,0,0,0,0,0,0,5348414
AA,4,12,9,0,0,16,64,1,5355412
766,0,55,55,25,0,0,,,5362456
C0,0,0,0,0,1,2,0,0,5369466
A5,128,11,0,0,0,0,144,2,5376447
A7,0,0,0,0,0,0,0,0,5383575
AA,4,12,9,0,0,16,64,1,5405172
AB,0,0,0,0,0,0,0,0,5412173
387,0,0,56,255,127,87,235,39,5419151
766,0,55,44,50,0,0,,,5426166
A5,131,11,0,0,0,0,145,2,5433216
A7,1,0,0,0,0,0,0,0,5440295
400,19,19,29,30,0,2,0,3,5451722
AA,4,12,9,0,0,16,64,1,5458860
401,16,17,18,19,,,,,5466176
AB,0,0,0,0,0,0,0,0,5473641
500,0,0,0,0,0,0,0,0,5481085
C0,0,0,0,0,1,2,0,0,5488596
A5,126,11,0,0,0,0,145,2,5496030
A7,0,0,0,0,0,0,0,0,5503575
AA,4,12,9,0,0,16,64,1,5523691
AB,0,0,0,0,0,0,0,0,5531152
766,0,44,33,25,0,0,,,5538586
