Time (s),MC In,MC Out,Motor In,Motor Out
21290.55,11,11,12,12
21296.97,11,11,12,12
21303.89,11,11,13,12
21311.3,11,11,13,12
21319.21,11,11,13,12
21327.62,11,11,12,12
21336.52,11,11,13,12
21345.9,11,11,12,12
21355.79,11,11,13,12
21366.15,11,11,13,12
21377.18,11,11,13,12
21388.54,11,11,13,12
21400.4,11,12,13,12
21412.74,11,12,13,12
21425.57,11,12,13,12
21438.9,12,12,13,12
21452.71,12,12,13,12
21467.03,12,12,13,12
21481.83,11,11,12,12
21497.12,11,11,12,12
21512.91,11,11,13,12
21529.2,11,11,13,12
21545.98,11,12,13,12
21563.24,11,11,13,12
21581.0,11,11,12,12
21599.46,11,11,12,12
21618.22,11,11,12,12
21637.46,11,11,12,12
21657.19,11,11,12,12
21677.42,11,11,12,12
21698.13,11,11,12,12
21719.34,11,12,12,12
21741.07,11,11,13,12
21763.26,11,11,13,12
21785.95,11,11,13,12
21809.13,11,11,12,12
21832.8,11,11,12,12
21856.96,11,11,12,12
21881.62,11,11,12,12
21906.77,11,11,12,12
21932.61,11,11,12,12
21958.75,11,11,12,12
21985.38,11,11,12,12
22012.5,12,11,12,12
22040.11,12,11,12,12
22068.21,11,11,12,12
22096.82,12,11,12,12
22125.92,11,11,12,12
22155.5,12,12,12,12
22185.57,11,12,12,12
22216.15,11,12,12,12
22247.2,12,12,12,12
22278.76,12,11,12,12
22310.81,11,11,12,12
22343.35,11,11,12,12
22376.61,11,11,12,12
22410.14,11,11,12,12
22444.15,11,11,12,12
22478.65,11,11,12,12
22513.65,11,11,12,12
22549.14,11,11,12,12
22585.12,11,11,13,12
22621.6,11,11,13,12
22658.57,11,11,12,12
22696.03,12,11,13,12
22734.0,12,11,13,12
22772.45,12,11,13,12
22811.4,12,11,13,12
22850.83,11,11,13,12
22890.75,11,11,12,12
22931.3,11,11,12,12
22972.21,11,11,13,12
23013.61,11,12,13,12
23055.51,11,11,13,12
23097.9,11,11,13,12
23140.78,11,11,13,12
23184.17,11,11,13,12
23228.03,11,11,13,12
23272.39,11,11,13,12
23317.23,11,11,13,12
23362.58,11,11,13,12
23408.41,11,11,13,12
23454.75,11,11,13,12
23501.57,11,11,13,12
23548.88,11,11,13,12
23596.9,11,11,13,12
23645.21,11,11,13,12
23694.0,11,11,13,12
23743.29,11,11,13,12
23793.07,11,11,13,12
23843.34,11,11,13,12
23894.1,11,11,13,12
23945.35,11,11,12,12
23997.1,11,11,12,12
24049.34,11,11,12,12
24102.07,11,11,13,12
24155.3,11,11,12,12
24209.01,11,11,12,12
24263.22,11,11,12,12
24317.92,11,11,12,12
24373.31,11,11,13,12
24429.0,11,11,13,12
24485.17,11,11,12,12
24541.86,12,11,13,12
24599.02,12,11,13,12
24656.68,12,11,13,12
24714.82,12,11,13,12
24773.46,12,11,13,12
24832.6,12,11,13,12
24892.23,11,11,13,12
24952.34,12,11,13,12
25012.97,12,11,12,12
25074.07,12,11,12,12
25135.66,11,11,13,12
25197.75,11,11,13,12
25260.32,11,11,13,12
25323.4,11,11,13,12
25386.98,11,11,13,12
25451.05,11,11,13,12
25515.61,11,11,13,11
25580.66,11,11,13,12
25646.2,11,11,13,12
25712.24,11,11,12,12
25778.78,11,11,12,12
25845.8,11,11,12,12
25913.31,11,11,12,12
25981.32,11,11,12,11
26049.81,11,11,12,12
26118.79,11,11,12,12
26188.28,11,11,12,12
26258.25,11,11,12,11
26328.72,11,11,13,12
26399.68,12,11,13,12
26471.14,12,12,13,12
26543.09,12,12,13,12
26615.52,12,11,12,12
26688.44,12,11,13,12
26761.86,12,11,13,12
26835.76,11,11,13,12
26910.17,12,11,13,12
26985.07,12,11,13,12
27060.47,12,12,13,12
27136.35,11,12,13,12
27212.74,12,12,13,12
27289.6,11,12,13,12
27366.96,11,12,13,12
27444.81,11,12,13,12
27523.15,11,12,13,12
27602.0,12,12,13,12
27681.35,12,12,13,12
27761.17,12,12,13,12
27841.49,12,12,13,12
27922.3,12,12,13,12
28003.6,12,12,13,12
28085.39,12,12,13,12
28167.69,12,12,13,12
28250.46,12,12,13,12
28333.74,12,12,13,12
28417.52,12,12,13,12
28501.77,12,11,13,12
28586.52,12,11,13,12
28671.75,12,11,13,12
28757.48,12,11,13,12
28843.7,12,11,13,12
28930.42,11,11,13,12
29017.63,11,11,13,12
29105.34,11,12,13,12
29193.52,11,11,13,12
29282.2,11,12,13,12
29371.39,11,11,13,12
29461.05,11,11,13,12
29551.21,11,12,13,12
29641.86,11,12,13,12
29733.01,11,12,13,12
29824.65,11,12,14,12
29916.78,12,12,13,12
30009.4,12,12,14,12
30102.52,12,12,14,12
30196.13,12,12,14,12
30290.23,12,12,14,12
30384.83,12,12,14,12
30479.91,12,12,14,12
30575.49,11,12,14,12
30671.57,11,12,14,12
30768.13,11,12,14,12
30865.18,12,12,14,12
30962.73,12,12,14,12
31060.78,12,12,14,12
31159.31,12,12,14,12
31258.33,12,12,13,12
31357.85,12,12,13,12
31457.86,12,12,13,12
31558.36,12,12,13,12
31659.36,12,12,13,12
31760.86,12,12,13,12
31862.85,12,12,13,12
31965.32,12,12,13,12
32068.29,12,12,13,12
32171.75,12,12,13,12
32275.7,12,12,13,12
32380.14,12,12,13,12
32485.07,12,12,13,12
32590.51,12,12,14,12
32696.43,12,12,13,12
32802.86,12,12,14,12
32909.91,12,12,14,12
33017.31,12,12,14,12
33125.2,12,12,14,12
33233.58,12,12,14,12
33342.46,12,12,14,12
33451.83,12,12,14,12
33561.69,12,12,14,12
33672.04,12,12,14,12
33782.88,12,12,14,12
33894.22,12,12,14,12
34006.05,12,12,14,12
34118.37,12,12,14,12
34231.19,12,12,14,12
34344.51,12,12,14,12
34458.31,12,12,13,12
34572.62,12,12,13,12
34687.4,12,12,13,12
34802.68,12,12,13,12
34918.45,12,12,13,12
35034.71,12,12,13,12
35151.47,12,12,13,12
35268.72,12,12,13,12
35386.46,12,12,13,12
35504.69,12,12,13,12
35623.41,12,12,13,12
35742.62,12,12,13,12
35862.33,12,12,13,12
35982.53,12,12,13,12
36103.22,12,12,13,12
36224.4,12,12,13,12
36346.08,12,12,13,12
36468.25,12,12,14,12
36590.91,12,12,14,12
36714.07,12,12,14,12
36837.71,12,12,13,12
36961.85,12,12,13,12
37086.49,12,12,13,12
37211.61,12,12,13,12
37337.22,12,12,13,12
37463.33,12,12,13,12
37589.93,12,12,13,12
37717.02,12,12,13,12
37844.61,12,12,13,12
37972.7,12,12,13,12
38101.48,12,12,13,12
38230.57,12,12,13,12
38360.14,12,12,13,12
38490.19,12,12,13,12
38620.73,12,12,13,12
38751.76,12,12,13,12
38883.29,12,12,13,12
39015.3,12,12,13,12
39147.81,12,12,13,12
39280.81,12,12,13,12
39414.3,12,12,13,12
39548.29,12,12,13,12
39682.77,12,12,13,12
39817.76,12,12,13,12
39953.22,12,12,13,12
40089.28,12,12,13,12
40225.72,12,12,13,12
40362.66,12,12,13,12
40500.1,12,12,13,12
40638.04,12,12,13,12
40776.46,12,12,14,12
40915.37,12,12,13,12
41054.77,12,12,13,12
41194.67,11,12,13,12
41335.06,11,12,14,12
41475.93,11,12,13,12
41617.3,11,12,13,12
41759.18,11,12,14,12
41901.54,11,12,13,12
42044.4,12,12,13,12
42187.74,12,12,13,12
42331.57,12,12,14,12
42475.89,12,12,13,12
42620.7,12,12,13,12
42766.01,12,12,13,12
42911.82,12,12,13,12
43058.13,12,12,13,12
43204.92,12,12,13,12
43352.19,12,12,13,12
43499.96,12,12,13,12
43648.23,12,12,13,12
43797.0,12,12,13,12
43946.24,12,12,13,12
44095.98,12,12,13,12
44246.4,12,12,13,12
44397.11,12,12,13,12
44548.34,12,12,13,12
44700.04,12,12,13,12
44852.24,12,12,13,12
45004.93,12,11,13,12
45158.11,12,12,13,12
45311.79,11,12,13,12
45465.96,11,12,13,12
45620.62,11,12,13,12
45775.78,11,12,13,12
45931.42,11,12,13,12
46087.55,11,12,13,12
46244.18,11,12,13,12
46401.3,11,12,13,12
46558.91,11,12,13,12
46717.01,11,12,13,12
46875.61,12,12,13,12
47034.7,12,12,13,12
47194.27,12,12,13,12
47354.35,12,12,13,12
47514.93,12,12,13,12
47675.99,12,12,13,12
47837.54,12,12,13,12
47999.57,12,12,13,12
48162.11,12,12,13,12
48325.14,12,12,13,12
48488.66,12,12,13,12
48652.67,12,12,14,12
48817.17,12,12,14,12
48982.16,12,12,13,12
49147.65,12,12,13,12
49313.62,12,12,13,12
49480.09,12,12,13,12
49647.06,12,12,13,12
49814.52,12,12,13,12
49982.46,12,12,13,12
50150.92,12,12,13,12
50319.85,12,12,13,12
50489.27,12,12,13,12
50659.19,12,12,13,12
50829.6,12,12,13,12
51000.51,12,12,13,12
51003.96,12,12,12,12
51007.45,12,12,12,12
51010.97,12,12,12,12
51014.53,12,12,12,12
51018.12,12,12,12,12
51022.07,12,12,12,12
51026.53,12,12,12,12
51031.47,12,12,12,12
51036.91,12,12,12,12
51042.84,12,12,12,12
51049.27,12,12,12,12
51056.19,12,12,12,12
51063.59,12,12,12,12
51071.5,12,12,12,12
51079.9,12,12,13,12
51088.78,12,12,12,12
51098.16,12,12,13,12
51108.02,12,12,12,12
51118.39,12,12,13,12
51129.24,12,12,12,12
51140.59,12,12,13,12
51152.42,12,12,13,12
51164.77,12,12,12,12
51168.21,12,12,11,12
51171.66,12,12,11,12
51175.15,12,12,11,12
51178.69,12,12,11,12
51182.25,12,12,11,12
51186.21,12,13,11,12
51190.66,12,13,11,12
51195.62,12,13,11,12
51201.05,12,13,11,12
51206.98,12,12,11,12
51213.39,12,12,11,13
51220.32,12,12,11,13
51227.72,12,12,11,13
51235.63,12,12,11,13
51244.01,12,12,11,13
51252.89,12,12,11,13
51262.26,12,12,11,13
51272.13,12,12,11,13
51282.48,12,12,11,13
51293.48,12,12,11,13
51304.83,12,12,11,13
51316.67,12,12,11,13
51329.0,12,12,11,13
51341.81,12,12,11,13
51355.12,12,12,11,13
51368.92,12,12,11,13
51383.22,12,12,11,13
51398.01,12,12,11,13
51413.29,12,12,11,13
51429.06,13,13,11,13
51445.32,12,12,11,13
51462.08,12,12,11,13
51479.32,12,13,11,13
51497.06,12,13,12,13
51515.38,12,13,11,13
51534.11,12,13,11,13
51553.32,12,13,11,13
51573.03,12,13,12,13
51593.23,12,13,12,13
51613.92,13,13,12,13
51635.1,12,13,12,13
51656.79,12,13,12,13
51678.96,12,13,12,13
51701.61,12,13,12,13
51724.77,12,13,12,13
51748.42,12,13,11,13
51772.56,12,13,11,13
51797.19,12,13,11,13
51822.31,12,13,11,13
51848.05,12,13,11,13
51874.16,12,13,11,13
51900.75,12,13,11,13
51927.86,12,13,11,13
51955.44,12,13,11,13
51983.52,12,13,11,13
52012.09,12,13,11,13
52041.15,12,13,11,13
52070.73,12,13,11,13
52100.76,12,13,11,13
52131.3,12,13,11,13
52162.33,12,13,11,13
52193.86,12,13,11,13
52225.87,12,13,11,13
52258.38,12,13,12,13
52291.49,12,13,11,13
52325.02,12,13,12,13
52359.02,12,13,12,13
52393.49,12,13,12,13
52428.46,12,13,12,13
52463.91,12,13,12,13
52499.86,12,13,12,13
52536.33,12,13,12,13
52573.26,12,13,12,13
52610.69,12,13,12,13
52648.61,12,13,11,13
52687.04,12,13,11,13
52725.94,12,13,11,13
52765.34,12,13,11,13
52805.23,12,13,11,13
52845.72,12,13,11,13
52886.59,12,13,11,12
52927.96,12,13,11,12
52969.81,12,13,11,12
53012.16,12,13,11,13
53055.0,12,13,11,13
53098.33,12,13,11,13
53142.17,12,13,11,13
53186.48,12,13,11,13
53231.29,12,13,12,13
53276.58,12,13,11,13
53322.38,12,13,11,13
53368.67,12,13,11,13
53415.45,12,13,11,13
53462.71,12,13,12,13
53510.65,12,13,11,13
53558.9,12,13,11,13
53607.65,12,13,11,13
53656.89,12,13,11,13
53706.62,12,13,11,13
53756.84,12,13,11,13
53807.55,12,13,11,13
53858.76,12,13,11,13
53910.45,12,13,11,13
53962.64,12,12,11,13
54015.32,12,13,11,13
54068.49,12,13,11,13
54122.16,12,13,11,13
54176.32,13,13,11,13
54230.97,12,13,11,13
54286.27,12,13,11,13
54341.9,12,12,11,13
54398.03,12,12,11,13
54454.66,12,12,11,13
54511.79,12,12,11,13
54569.4,12,12,11,13
54627.49,12,12,11,13
54686.08,12,12,11,13
54745.16,12,12,11,13
54804.73,13,12,11,13
54864.79,13,12,11,12
54925.36,12,12,11,12
54986.42,12,12,11,12
55047.95,12,12,11,12
55109.99,12,13,11,12
55172.51,12,13,11,12
55235.53,12,13,11,13
55299.05,12,13,11,13
55363.05,12,13,11,13
55427.55,12,13,11,13
55492.53,12,13,11,13
55558.0,12,13,11,13
55623.97,12,13,11,13
55690.43,12,13,11,13
55757.38,12,13,11,13
55824.82,12,13,11,13
55892.76,12,13,11,13
55961.19,12,13,11,13
56030.1,12,13,11,13
56099.51,12,13,11,13
56169.43,12,13,11,13
56239.82,12,13,11,13
56310.72,12,13,11,13
56382.1,12,13,11,13
56453.97,12,13,11,13
56526.34,12,13,11,13
56599.21,12,13,11,13
56672.55,12,13,12,13
56746.39,12,13,12,13
56820.73,12,13,11,13
56895.55,12,13,12,13
56970.87,12,13,11,13
57046.68,12,13,11,13
57122.99,12,13,12,13
57199.78,12,13,12,13
57277.08,12,13,11,13
57354.87,12,13,12,13
57433.14,12,13,11,13
57511.91,12,13,12,13
57591.16,12,13,12,13
57670.91,12,13,12,13
57751.15,12,13,11,13
57831.89,12,13,12,13
57913.11,12,13,12,13
57994.82,12,13,12,13
58077.04,12,13,12,13
58159.73,12,13,12,13
58242.93,12,13,12,13
58326.62,13,13,12,13
58410.8,12,13,12,13
58495.46,13,13,12,13
58580.62,13,13,12,13
58666.27,13,13,12,13
58752.42,13,13,12,13
58839.05,13,13,12,13
58926.18,13,13,12,13
59013.8,13,13,12,13
59101.92,13,13,11,13
59190.52,13,13,11,13
59279.62,13,13,11,13
59369.23,13,13,11,13
59459.3,13,13,11,13
59549.88,13,12,11,13
59640.94,13,12,11,13
59732.5,13,12,11,13
59824.55,13,12,11,13
59917.1,13,12,11,13
60010.15,13,12,11,13
60103.67,13,12,11,13
60197.69,13,12,11,13
60292.21,13,12,11,13
60387.22,13,12,11,13
60482.72,13,12,12,13
60578.7,13,12,12,13
60675.18,13,12,11,13
60772.17,12,13,11,13
60869.64,12,13,12,13
60967.6,12,13,12,13
61066.05,12,13,11,13
61164.99,12,13,12,13
61264.42,12,13,11,13
61364.34,12,13,12,13
61464.76,12,13,12,13
61565.67,12,13,12,13
61667.08,12,13,12,13
61768.99,12,13,12,13
61871.37,12,13,11,13
61974.25,12,13,11,13
62077.62,12,13,11,13
62181.48,12,13,12,13
62285.83,12,13,12,13
62390.68,12,13,11,13
62496.02,12,13,11,13
62601.84,12,13,11,13
62708.18,13,13,11,13
62815.12,13,13,11,13
62922.44,12,13,11,13
63030.24,12,13,11,13
63138.53,12,13,11,13
63247.31,12,13,11,13
63356.59,13,13,11,13
63466.37,12,13,11,13
63576.63,12,13,11,13
63687.4,12,13,11,13
63798.65,12,13,11,13
63910.4,12,13,11,13
64022.63,12,13,11,13
64135.35,12,13,11,13
64248.57,12,13,11,13
64362.27,12,13,11,13
64476.47,12,13,11,13
64591.17,12,13,11,13
64706.35,12,12,11,13
64822.02,12,13,11,13
64938.18,12,12,11,13
65054.84,12,13,11,13
65171.99,13,12,11,13
65289.63,13,12,11,13
65407.77,13,12,11,13
65526.39,13,12,11,13
65645.51,13,12,11,13
65765.12,13,12,11,13
65885.22,13,12,11,13
66005.82,13,13,12,13
66127.0,12,13,12,13
66248.59,12,13,12,13
66370.66,12,13,12,13
66493.22,12,13,11,13
66616.27,12,13,12,13
66739.82,12,13,12,13
66863.86,12,13,11,13
66988.39,12,13,11,13
67113.41,12,13,11,13
67238.93,12,13,11,13
67364.94,12,12,11,13
67491.45,12,13,11,13
67618.44,12,13,11,13
67745.93,12,13,11,13
