Time (s),Amps
57861.07,-23040
58117.56,-23296
58375.15,-23296
58633.61,-23040
58893.09,-23296
59153.58,-23296
59415.06,-23296
59677.55,-23296
59941.02,-23296
60205.63,-23296
60471.09,-23296
60737.57,-24320
61005.08,-23808
61273.64,-23296
61543.11,-23808
61813.62,-24320
62085.25,-23552
62357.77,-24576
62631.28,-23296
62905.77,-23808
63181.27,-23296
63457.76,-25344
63735.25,-23040
64013.92,-23808
64293.44,-23296
64573.95,-23296
64855.52,-23552
65138.03,-23296
65421.54,-23808
65706.07,-23296
65991.76,-23552
66278.33,-23296
66565.83,-23040
66854.33,-23808
67143.87,-23296
67434.39,-23552
67725.9,-23296
68018.86,-23808
68313.57,-23808
68609.28,-24832
68906.0,-23808
69203.73,-24576
69502.42,-23040
69802.15,-25344
70102.91,-23040
70404.65,-23040
70707.37,-23040
71011.13,-23040
71315.87,-23296
71621.62,-23552
71928.35,-23040
72236.08,-23296
72545.81,-23296
72856.54,-23552
73168.31,-23296
73481.07,-23296
73794.82,-23552
74109.59,-23808
74425.34,-23296
74744.11,-21504
75064.88,-24832
75386.61,-23808
75709.39,-23808
76033.18,-23552
76357.91,-24320
76683.66,-23040
77010.45,-23296
77338.23,-23040
77666.96,-23296
77996.69,-23296
78327.47,-23040
78660.24,-23296
78994.01,-23552
79328.8,-23040
79664.62,-23296
80001.39,-23808
80339.16,-23296
80677.97,-23808
81017.79,-23552
81358.52,-23808
81700.33,-24320
82044.09,-21504
82388.89,-24320
82734.7,-23552
83082.5,-23552
83431.3,-22528
83781.12,-23040
84131.98,-23296
84483.73,-23296
84836.53,-23552
85191.33,-23296
85547.15,-23552
85904.01,-23296
86261.84,-23040
86620.67,-23808
86980.48,-23808
87341.31,-23808
87703.17,-23552
88066.0,-23552
88429.83,-23552
88795.67,-23296
89162.49,-24320
89530.32,-23296
89899.21,-24320
90269.05,-23040
90639.85,-24576
91011.67,-23552
91384.54,-24576
91387.86,-24320
91392.12,-24320
91397.34,-24320
91403.59,-23296
91410.84,-24320
91419.13,-24320
91428.37,-25600
91438.65,-23808
91450.01,-24832
91462.28,-24576
91475.54,-24832
91489.85,-23552
91505.15,-24576
91521.45,-23552
91538.7,-23808
91556.99,-23808
91577.3,-23808
91598.58,-23808
91620.96,-24320
91644.31,-23808
91668.6,-23808
91693.85,-23296
91720.2,-23808
91748.49,-23808
91777.84,-24320
91809.19,-24576
91841.49,-25600
91874.8,-24576
91909.14,-24320
91944.5,-23552
91980.83,-24832
92018.15,-23552
92056.5,-23552
92095.83,-23808
92136.16,-23808
92177.48,-24320
92219.87,-23808
92263.27,-23808
92307.61,-23552
92352.97,-23552
92399.32,-24320
92446.69,-23808
92496.07,-23296
92546.37,-23808
92597.74,-24576
92650.13,-24576
92703.48,-23552
92757.81,-24832
92814.2,-24320
92871.55,-23808
92929.87,-24320
92989.25,-25344
93049.64,-23808
93110.97,-23296
93173.28,-22528
93236.63,-21504
93301.02,-22528
93366.38,-21248
93432.74,-22272
93500.1,-21504
93568.47,-22272
93637.79,-20992
93708.09,-22272
93779.4,-21504
93851.7,-21504
93924.95,-22528
93999.2,-22528
94074.46,-22272
94150.71,-22528
94227.93,-21504
94306.15,-20736
94385.4,-20992
94465.63,-23296
94546.84,-23552
94629.07,-23296
94712.32,-21248
94796.57,-23040
94881.79,-20992
94968.03,-19200
95055.29,-20224
95143.55,-19712
95232.78,-20736
95323.06,-21504
95414.33,-22272
95506.56,-20224
95599.81,-22528
95694.03,-19200
95789.29,-20736
95885.52,-19712
95982.76,-19200
96081.02,-18944
96180.27,-21504
96280.52,-18688
96381.81,-18432
96484.08,-21504
